Suburb,Postcode,HouseMedian$,UpdatedYr,UpdateMonth,,,
Clemton Park,2206,700000,2016,6,,,2206
Cleveland,2530,595000,2016,6,,,2530
Cliftleigh,2321,417000,2016,6,,,2321
Clifton,2515,595000,2016,6,,,2515
Clontarf,2093,1673000,2016,6,,,2093
Clyde,2142,720000,2016,6,,,2142
Coal Point,2283,491000,2016,6,,,2283
Coalcliff,2508,595000,2016,6,,,2508
Coasters Retreat,2108,1391000,2016,6,,,2108
Cockatoo Island,#N/A,1324000,2016,6,,,#N/A
Cogra Bay,2083,600000,2016,6,,,2083
Colebee,2761,632000,2016,6,,,2761
Coledale,2515,595000,2016,6,,,2515
Collaroy,2097,1035000,2016,6,,,2097
Collaroy Plateau,2097,1035000,2016,6,,,#N/A
Colo,2756,635000,2016,6,,,2756
Colo Heights,2756,635000,2016,6,,,2756
Colongra,2262,480000,2016,6,,,2262
Colyton,2760,589000,2016,6,,,2760
Como,2226,900000,2016,6,,,2226
Concord,2137,1006000,2016,6,,,2137
Concord West,2138,1006000,2016,6,,,2138
Condell Park,2200,820000,2016,6,,,2200
Coniston,2500,595000,2016,6,,,2500
Connells Point,2221,880000,2016,6,,,2221
Constitution Hill,2145,720000,2016,6,,,#N/A
Coogee,2034,1100000,2016,6,,,2034
Cooks Hill,2300,491000,2016,6,,,2300
Cooranbong,2265,471000,2016,6,,,2265
Copacabana,2251,600000,2016,6,,,2251
Cordeaux,2526,595000,2016,6,,,2526
Cordeaux Heights,2526,595000,2016,6,,,2526
Corlette,2315,449000,2016,6,,,2315
Cornwallis,2756,635000,2016,6,,,2756
Corrimal,2518,595000,2016,6,,,2518
Corrimal East,2518,595000,2016,6,,,2518
Cottage Point,2084,1035000,2016,6,,,2084
Cranebrook,2749,589000,2016,6,,,2749
Cremorne,2090,1050000,2016,6,,,2090
Cremorne Point,2090,1050000,2016,6,,,2090
Cringila,2502,595000,2016,6,,,2502
Cromer,2099,1035000,2016,6,,,2099
Cronulla,2230,900000,2016,6,,,2230
Croudace Bay,2280,491000,2016,6,,,2280
Crows Nest,2065,1050000,2016,6,,,1582
Croydon Park,2133,700000,2016,6,,,2133
Cumberland Reach,2756,635000,2016,6,,,2756
Curl Curl,2096,1035000,2016,6,,,2096
Curramore,2533,688000,2016,6,,,2533
Currans Hill,2567,700000,2016,6,,,2567
Currawong Beach,2108,1391000,2016,6,,,2108
Daceyville,2032,861000,2016,6,,,2032
Daleys Point,2257,600000,2016,6,,,2257
Dangar,2309,491000,2016,6,,,2309
Dapto,2530,595000,2016,6,,,2530
Dargan,2786,578000,2016,6,,,2786
Darkes Forest,2508,595000,2016,6,,,2508
Darling Point,2027,1709000,2016,6,,,2027
Darlinghurst,2010,930000,2016,6,,,1300
Darlington,2008,930000,2016,6,,,2008
Davidson,2085,1035000,2016,6,,,2085
Davistown,2251,600000,2016,6,,,2251
Dawes Point,2000,930000,2016,6,,,2000
Dean Park,2761,632000,2016,6,,,2761
Dee Why,2099,1035000,2016,6,,,2099
Denistone,2114,1020000,2016,6,,,2114
Denistone East,2112,1020000,2016,6,,,2112
Denistone West,2114,1020000,2016,6,,,2114
Dharruk,2770,632000,2016,6,,,2770
Dobroyd Point,#N/A,825000,2016,6,,,#N/A
Dolans Bay,2229,900000,2016,6,,,2229
Dolls Point,2219,760000,2016,6,,,2219
Dombarton,2526,595000,2016,6,,,2526
Doonside,2767,632000,2016,6,,,2767
Dooralong,2259,480000,2016,6,,,2259
Double Bay,2028,1709000,2016,6,,,1360
Douglas Park,2569,680000,2016,6,,,2569
Dover Heights,2030,1200000,2016,6,,,2030
Doyalson,2262,480000,2016,6,,,2262
Drummoyne,2047,1006000,2016,6,,,1470
Duckenfield,2321,417000,2016,6,,,2321
Duckmaloi,2787,578000,2016,6,,,2787
Dudley,2290,491000,2016,6,,,2290
Duffys Forest,2084,1035000,2016,6,,,2084
Dulwich Hill,2203,985000,2016,6,,,2203
Dundas,2117,720000,2016,6,,,2117
Dundas Valley,2117,720000,2016,6,,,2117
Dural,2158,1089000,2016,6,,,2158
Eagle Vale,2558,545000,2016,6,,,2558
Eagleton,2324,449000,2016,6,,,2324
Earlwood,2206,700000,2016,6,,,2206
East Corrimal,2518,595000,2016,6,,,2518
East Gordon,#N/A,1600000,2016,6,,,#N/A
East Gosford,2250,600000,2016,6,,,2250
East Hills,2213,820000,2016,6,,,2213
East Killara,2071,1600000,2016,6,,,2071
East Lindfield,2070,1600000,2016,6,,,2070
East Maitland,2323,417000,2016,6,,,2323
East Roseville,2069,1600000,2016,6,,,#N/A
East Ryde,2113,1020000,2016,6,,,2113
East Seaham,2324,449000,2016,6,,,2324
East Willoughby,2068,1486000,2016,6,,,#N/A
Eastern Creek,2766,632000,2016,6,,,2766
Eastgardens,2036,861000,2016,6,,,2036
Eastlakes,2018,861000,2016,6,,,2018
Eastwood,2122,720000,2016,6,,,2122
Ebenezer,2756,635000,2016,6,,,2756
Edensor Park,2176,700000,2016,6,,,2176
Edgecliff,2027,1709000,2016,6,,,2027
Edgeworth,2285,491000,2016,6,,,2285
Edith,2787,578000,2016,6,,,2787
Edmondson Park,2174,695000,2016,6,,,#N/A
Elanora Heights,2101,1391000,2016,6,,,2101
Eleebana,2282,491000,2016,6,,,2282
Elermore Vale,2287,491000,2016,6,,,2287
Elizabeth Bay,2011,930000,2016,6,,,2011
Ellalong,2325,316000,2016,6,,,2325
Elvina Bay,2105,1391000,2016,6,,,2105
Emerton,2770,632000,2016,6,,,2770
Empire Bay,2257,600000,2016,6,,,2257
Emu Heights,2750,589000,2016,6,,,2750
